ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0.122109689,0.20510207,0.114221242
0.001976861,0.01537499,0.001849153
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000985934,0.000156287,0.000922241
0.036377933,0.033430042,0.034027871
0.07741596,0.081913656,0.072414787
0.114190729,0.123160914,0.106813857
0.146138132,0.154779147,0.136697416
0.160306712,0.17230204,0.149950687
0.160476883,0.169409206,0.150109865
0.107195426,0.158010318,0.10027046
0.103912835,0.131009902,0.097199929
0.071605019,0.090516892,0.06697924
0.034423762,0.043250754,0.032199941
0.001138355,0.001467076,0.001064816
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002491047,0.001775334,0.002330122
0.115508463,0.181591572,0.108046464
0.240738361,0.394393018,0.225186346
0.377931568,0.56281534,0.353516691
0.457735815,0.689180581,0.428165479
0.431519255,0.735307102,0.403642543
0.450838273,0.754990785,0.421713527
0.411668322,0.707501055,0.385074007
0.317120654,0.610958362,0.296634243
0.223533497,0.453667162,0.209092938
0.090480113,0.25066362,0.084634978
0.001437857,0.015057263,0.00134497
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.010018035,0.001820327,0.009370856
0.231142949,0.19659966,0.21621081
0.472354678,0.428278975,0.441839944
0.641862257,0.615121129,0.600397109
0.76037294,0.741041229,0.711251847
0.79499354,0.802182182,0.74363591
0.798385773,0.805714728,0.746809001
0.74842209,0.749264261,0.700073037
0.621147048,0.649761832,0.581020131
0.450938511,0.474866104,0.421807289
0.220400286,0.262347393,0.206162137
0.008158891,0.014213326,0.007631816
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.008545549,0.001854456,0.007993495
0.201942531,0.187933376,0.188896777
0.413389383,0.415293889,0.386683884
0.578141978,0.602331349,0.540793245
0.65607018,0.729724239,0.613687182
0.725266975,0.796933567,0.678413773
0.714712614,0.802439881,0.668541238
0.660990218,0.753894713,0.618289379
0.554010379,0.637874915,0.518220579
0.396206843,0.476447426,0.370611359
0.195547969,0.260622174,0.182915313
0.008502126,0.016580386,0.007952877
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.009113158,0.001721961,0.008524436
0.213482849,0.178324014,0.199691575
0.433428251,0.400594831,0.405428215
0.61822992,0.585154134,0.578291453
0.74252204,0.727843011,0.694554138
0.786147862,0.784680681,0.735361675
0.795446768,0.78941285,0.744059859
0.737771915,0.750914267,0.690110878
0.622234708,0.635710035,0.582037526
0.45040771,0.468025681,0.421310778
0.219703399,0.257890173,0.20551027
0.011799704,0.018043649,0.011037427
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000763078,0.00015734,0.000713782
0.065199532,0.061273945,0.060987557
0.14518324,0.152894013,0.135804211
0.223188324,0.223493982,0.208770064
0.281820348,0.294275835,0.263614383
0.281362615,0.329953625,0.263186219
0.2875019,0.331572959,0.268928899
0.253279781,0.300130291,0.236917574
0.262051305,0.260015467,0.245122446
0.204176899,0.169025253,0.190986803
0.09130472,0.094673027,0.085406314
0.004785659,0.00496895,0.004476499
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.009260337,0.000190876,0.008662107
0.220203529,0.105046782,0.205978091
0.465835885,0.251477063,0.435742273
0.633589234,0.448108941,0.592658535
0.741886956,0.559331556,0.693960082
0.799310523,0.517013629,0.74767401
0.799394013,0.553745022,0.747752107
0.755843376,0.502389023,0.707014899
0.633884763,0.380367437,0.592934973
0.458696719,0.273112284,0.429064307
0.225449455,0.1039036,0.210885123
0.012136888,0.001867669,0.011352829
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.00270634,0.002002711,0.002531507
0.139954753,0.159367288,0.130913492
0.16234469,0.34985411,0.151857009
0.192863101,0.537677512,0.18040389
0.244080109,0.601707157,0.228312212
0.350069729,0.701088994,0.327454764
0.442113055,0.689837542,0.413551969
0.485670966,0.638951326,0.454295982
0.561346004,0.53415021,0.525082312
0.492427475,0.378826487,0.460616011
0.244109287,0.201147035,0.228339506
0.029935777,0.009982192,0.028001887
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002835769,0.000130697,0.002652574
0.103764867,0.037024011,0.09706152
0.266649784,0.071204919,0.249423857
